# step  MSD_x(Ang2)  MSD_y  MSD_z  MSD_total
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
0 0 0 0 0
500 5.10437 5.4732 5.52944 16.107
1000 14.2937 15.9787 15.8009 46.0732
1500 27.484 29.9967 29.2504 86.731
2000 45.0052 47.8717 45.7273 138.604
2500 63.3046 67.9671 63.1874 194.459
3000 82.9944 90.1233 82.2477 255.365
3500 104.157 111.719 101.256 317.132
4000 123.676 133.387 124.859 381.922
4500 142.556 156.411 148.967 447.935
5000 159.64 178.871 173.694 512.205
5500 179.158 200.892 198.435 578.485
6000 202.06 222.67 224.737 649.466
6500 222.575 243.209 251.848 717.631
7000 243.492 266.156 280.228 789.876
7500 264.29 292.524 308.41 865.224
8000 282.336 318.645 336.744 937.725
8500 301.494 345.283 368.35 1015.13
9000 320.592 369.187 399.59 1089.37
9500 342.467 391.517 430.683 1164.67
10000 366.69 413.228 456.586 1236.5
10500 389.569 431.162 480.776 1301.51
11000 409.51 450.629 507.255 1367.39
11500 430.193 468.461 533.888 1432.54
12000 447.444 486.193 559.12 1492.76
12500 464.828 502.511 584.681 1552.02
13000 482.652 515.309 609.079 1607.04
13500 500.425 529.903 632.929 1663.26
14000 519.302 549.847 657.923 1727.07
14500 543.797 568.706 683.648 1796.15
15000 563.095 588.155 709.523 1860.77
15500 585.792 611.352 738.828 1935.97
16000 610.991 634.433 765.934 2011.36
16500 637.378 652.175 791.487 2081.04
17000 659.763 670.964 814.254 2144.98
17500 677.265 690.776 833.553 2201.59
18000 694.301 713.804 854.43 2262.54
18500 711.785 740.001 875.944 2327.73
19000 731.77 767.392 901.205 2400.37
19500 749.937 792.2 920.853 2462.99
20000 772.183 817.087 944.728 2534
20500 792.6 841.298 969.075 2602.97
21000 812.156 862.167 987.227 2661.55
21500 834.404 886.426 1010.92 2731.75
22000 859.068 912.532 1035.48 2807.08
22500 884.177 936.983 1057.33 2878.49
23000 902.456 957.73 1079.95 2940.14
23500 920.481 980.544 1107.04 3008.07
24000 940.601 997.076 1131.52 3069.2
24500 958.773 1013.69 1151.26 3123.73
25000 978.449 1035.9 1167.17 3181.52
25500 997.66 1058.5 1187.22 3243.38
26000 1014.94 1082.82 1212.1 3309.86
26500 1032.39 1103.9 1235.6 3371.89
27000 1048.98 1125.4 1252.02 3426.4
27500 1067.17 1151.36 1270.38 3488.91
28000 1089.52 1175.49 1295.26 3560.26
28500 1113.53 1193.8 1317.89 3625.22
29000 1134.28 1202.69 1342.85 3679.82
29500 1159.03 1218.61 1366.18 3743.82
30000 1185.92 1233.39 1384.43 3803.73
30500 1206.87 1248.23 1403.44 3858.54
31000 1227.81 1262.53 1426.16 3916.5
31500 1253.65 1269.84 1452.9 3976.39
32000 1275.72 1282.66 1476.77 4035.14
32500 1301 1300.71 1503.26 4104.97
33000 1326.19 1325.42 1527.86 4179.48
33500 1353.75 1353.1 1552.41 4259.25
34000 1374.45 1380.77 1576.84 4332.06
34500 1394.88 1415.46 1598.62 4408.97
35000 1413.3 1444.06 1622.69 4480.05
35500 1437.63 1464.58 1651.98 4554.19
36000 1460.1 1493.09 1676.03 4629.21
36500 1480.81 1521.27 1692.26 4694.34
37000 1501.62 1550.2 1712.25 4764.08
37500 1528.25 1578.14 1724.69 4831.08
38000 1555.28 1601.95 1740.24 4897.47
38500 1572.67 1629.07 1755.75 4957.48
39000 1592.33 1651.6 1769.89 5013.82
39500 1609.59 1676.17 1790.69 5076.45
40000 1626.72 1702.26 1816.18 5145.17
40500 1645.84 1733.16 1839.96 5218.95
41000 1660.95 1763.19 1865.41 5289.56
41500 1682.98 1788.6 1890.98 5362.56
42000 1711.86 1810.88 1919.2 5441.95
42500 1732.76 1834.2 1943.76 5510.72
43000 1748.26 1862.3 1963.84 5574.4
43500 1761 1887.17 1981.03 5629.21
44000 1772.42 1915.33 1999.63 5687.38
44500 1785.73 1939.41 2018.92 5744.07
45000 1800.57 1958.96 2032.49 5792.02
45500 1813.36 1975.58 2057.22 5846.16
46000 1820.18 1993.9 2076.72 5890.8
46500 1832.6 2014.5 2099.91 5947.01
47000 1849.84 2035.2 2127.63 6012.66
47500 1865.01 2056.23 2161.88 6083.12
48000 1879.92 2070.69 2194.08 6144.68
48500 1893.65 2090.41 2221.51 6205.57
49000 1911.92 2110.24 2245.38 6267.54
49500 1925.53 2135.18 2275.48 6336.19
50000 1940.82 2154.82 2306.55 6402.19
50500 1954.4 2174.14 2335.1 6463.64
51000 1965.93 2196.8 2361.45 6524.17
51500 1978.94 2210.75 2389.16 6578.85
52000 1999.71 2229.47 2413.22 6642.4
52500 2022.49 2248.39 2433.34 6704.22
53000 2050.85 2258.88 2461.07 6770.8
53500 2079.83 2276.38 2484.69 6840.91
54000 2107.3 2294.96 2507.83 6910.09
54500 2143.25 2324.47 2541.17 7008.88
55000 2182.56 2358.39 2567.03 7107.98
55500 2209.18 2392.78 2592.29 7194.25
56000 2231.74 2428.76 2616.63 7277.13
56500 2253.71 2454.98 2647.41 7356.09
57000 2270.15 2474.56 2679.1 7423.81
57500 2289.43 2498.63 2720.93 7508.99
58000 2306.04 2525.81 2759.03 7590.87
58500 2324.95 2563.68 2792.98 7681.61
59000 2339.17 2597.02 2834.46 7770.66
59500 2356.71 2641.69 2878.11 7876.51
60000 2375.53 2683.91 2922.03 7981.47
60500 2387.25 2715.28 2952.82 8055.35
61000 2399.97 2746.07 2982.97 8129.01
61500 2409.68 2788.52 3011.18 8209.38
62000 2425.76 2823.88 3034.7 8284.34
62500 2447.21 2852.16 3060.84 8360.2
63000 2466.33 2882.76 3086.35 8435.44
63500 2484.71 2909.89 3112.94 8507.54
64000 2509.58 2933.48 3142.98 8586.04
64500 2528.25 2955.51 3173.68 8657.44
65000 2544.17 2984.58 3204.11 8732.87
65500 2564.05 3006.92 3234.72 8805.7
66000 2582.02 3031.16 3260.74 8873.91
66500 2607.83 3052.33 3291.35 8951.51
67000 2624.32 3076.49 3323.77 9024.59
67500 2636.94 3100.62 3364.14 9101.69
68000 2653.83 3122.94 3403.73 9180.5
68500 2674.61 3140.63 3436.87 9252.11
69000 2692.21 3164.05 3469.14 9325.41
69500 2716.53 3186.63 3489.98 9393.14
70000 2739.19 3209.29 3515.63 9464.11
70500 2758.97 3238.04 3543.69 9540.71
71000 2780.93 3263.2 3577.58 9621.71
71500 2800.99 3290.17 3606.45 9697.61
72000 2815.31 3305.23 3628.68 9749.22
72500 2814.15 3320.81 3642.6 9777.56
73000 2812.74 3337.61 3667.31 9817.66
73500 2813.61 3355.33 3686.07 9855.01
74000 2829.21 3375.45 3704.94 9909.59
74500 2859.02 3401.76 3714.22 9975.01
75000 2885.55 3421.02 3732.65 10039.2
75500 2902.81 3460.76 3759.56 10123.1
76000 2925.25 3492.41 3785.19 10202.9
76500 2948.4 3519.82 3817 10285.2
77000 2978.47 3548.26 3848.52 10375.3
77500 3001.57 3578.46 3868.52 10448.5
78000 3020.3 3612.97 3896.37 10529.6
78500 3045.88 3651.86 3921.34 10619.1
79000 3070.31 3687.05 3946 10703.4
79500 3081.01 3712.92 3973.82 10767.8
80000 3090.74 3731.1 4004.8 10826.6
80500 3101.18 3752.88 4028.71 10882.8
81000 3113.71 3779.13 4040.87 10933.7
81500 3122.48 3804.5 4063.25 10990.2
82000 3134.68 3828.83 4081.07 11044.6
82500 3153.37 3848.03 4102.1 11103.5
83000 3175.97 3874.69 4118.89 11169.5
83500 3199.17 3902.05 4152.21 11253.4
84000 3207.11 3925.07 4187.8 11320
84500 3219.91 3956.56 4219.01 11395.5
85000 3226.99 3981.85 4240.47 11449.3
85500 3231.74 4009.82 4266.93 11508.5
86000 3249.04 4037.47 4305.77 11592.3
