# step  MSD_x(Ang2)  MSD_y  MSD_z  MSD_total
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
0 1.67759e-27 1.36255e-28 0 1.81385e-27
500 5.14759 5.53224 5.06383 15.7437
1000 14.5872 16.3625 14.6697 45.6194
1500 25.9617 30.8932 27.479 84.334
2000 38.9736 47.7096 43.1411 129.824
2500 53.5035 65.7197 61.1033 180.326
3000 68.0073 84.319 80.0354 232.362
3500 83.5983 101.792 98.9627 284.353
4000 100.755 119.027 117.716 337.498
4500 117.831 135.775 134.686 388.292
5000 134.028 155.217 152.891 442.136
5500 150.206 174.171 172.131 496.507
6000 167.89 192.56 189.12 549.57
6500 183.603 210.842 204.955 599.399
7000 201.52 230.961 219.463 651.945
7500 220.16 253.031 233.942 707.133
8000 234.568 272.085 249.92 756.572
8500 250.11 289.751 266.348 806.209
9000 266.82 306.303 282.066 855.189
9500 284.481 324.075 297.622 906.178
10000 300.84 342.043 312.047 954.93
10500 316.727 360.12 327.95 1004.8
11000 332.913 379.179 345.948 1058.04
11500 350.176 398.404 360.462 1109.04
12000 369.121 416.954 376.057 1162.13
12500 386.488 433.764 392.207 1212.46
13000 403.917 453.144 409.371 1266.43
13500 419.786 472.794 431.814 1324.39
14000 436.914 490.97 451.075 1378.96
14500 454.047 505.163 470.962 1430.17
15000 470.142 521.268 488.088 1479.5
15500 486.46 539.188 503.563 1529.21
16000 501.308 558.22 519.208 1578.74
16500 517.094 573.47 535.245 1625.81
17000 533.664 588.925 551.272 1673.86
17500 548.677 605.804 562.595 1717.08
18000 561.365 625.525 574.115 1761
18500 572.042 647.837 585.491 1805.37
19000 583.36 670.547 595.844 1849.75
19500 596.934 694.765 611.379 1903.08
20000 611.539 714.57 625.526 1951.64
20500 619.702 731.554 640.584 1991.84
21000 630.719 749.657 658.341 2038.72
21500 638.129 767.503 675.433 2081.06
22000 646.428 785.947 689.466 2121.84
22500 657.073 807.864 704.317 2169.25
23000 671.106 827.304 719.334 2217.74
23500 685.987 848.121 736.397 2270.5
24000 698.915 867.193 752.756 2318.86
24500 713.335 883.729 771.546 2368.61
25000 727.355 902.648 784.447 2414.45
25500 746.035 919.444 798.478 2463.96
26000 761.632 928.752 813.672 2504.06
26500 779.563 938.838 832.331 2550.73
27000 796.488 951.458 847.225 2595.17
27500 810.304 968.028 861.918 2640.25
28000 824.995 984.532 879.225 2688.75
28500 840.509 1007.61 894.956 2743.07
29000 855.844 1023.29 909.641 2788.77
29500 871.171 1041.11 928.163 2840.45
30000 884.873 1062.86 947.47 2895.2
30500 895.752 1086.74 968.262 2950.76
31000 911.039 1104.96 985.763 3001.76
31500 928.652 1124.69 998.454 3051.79
32000 950.263 1142.4 1014.2 3106.86
32500 974.636 1159.01 1034 3167.64
33000 995.145 1174.91 1053.76 3223.81
33500 1013.64 1195.77 1073.14 3282.55
34000 1028.2 1211.05 1094.73 3333.99
34500 1037.09 1231.19 1112.94 3381.22
