# step  MSD_x(Ang2)  MSD_y  MSD_z  MSD_total
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
0 2.05566e-27 1.00068e-27 9.76712e-28 4.03304e-27
500 5.0669 5.36771 5.50115 15.9358
1000 14.002 15.4369 16.3626 45.8016
1500 25.7006 28.0933 31.0787 84.8725
2000 39.4943 41.3541 47.3555 128.204
2500 55.9516 55.6205 65.9901 177.562
3000 73.3123 72.0391 84.2822 229.634
3500 91.729 89.5114 102.937 284.177
4000 110.289 107.572 123.332 341.194
4500 129.112 125.421 143.161 397.694
5000 147.328 144.288 162.356 453.973
5500 164.214 163.277 179.727 507.218
6000 181.889 182.24 195.862 559.992
6500 198.341 203.964 213.009 615.314
7000 215.289 225.043 231.57 671.902
7500 231.964 246.358 251.739 730.061
8000 250.237 268.915 270.283 789.434
8500 271.532 290.942 290.084 852.558
9000 293.836 312.252 310.579 916.667
9500 315.313 334.578 328.945 978.835
10000 336.972 354.577 348.114 1039.66
10500 359.009 376.286 368.887 1104.18
11000 383.637 397.46 390.211 1171.31
11500 405.893 417.22 412.82 1235.93
12000 426.482 437.662 435.301 1299.44
12500 441.786 456.973 450.888 1349.65
13000 457.447 475.534 465.457 1398.44
13500 473.065 497.241 481.508 1451.81
14000 488.981 516.144 501.256 1506.38
14500 504.018 533.787 521.843 1559.65
15000 516.403 553.729 544.233 1614.36
15500 528.716 573.213 565.276 1667.21
16000 544.22 594.975 586.178 1725.37
16500 556.269 618.19 608.61 1783.07
17000 570.91 641.688 628.023 1840.62
17500 585.184 663.434 647.691 1896.31
18000 601.944 688.511 666.575 1957.03
18500 618.067 716.95 689.285 2024.3
19000 633.954 744.022 713.527 2091.5
19500 649.965 766.344 736.002 2152.31
20000 667.022 787.917 756.919 2211.86
20500 682.717 808.693 775.853 2267.26
21000 697.19 825.841 789.822 2312.85
21500 713.147 845.872 808.577 2367.6
22000 726.518 868.19 830.285 2424.99
22500 739.302 888.497 854.002 2481.8
23000 750.214 910.994 878.56 2539.77
23500 761.942 934.169 907.55 2603.66
24000 777.633 957.166 935.101 2669.9
24500 792.423 982.555 960.202 2735.18
25000 809.441 1007.69 982.87 2800
25500 829.619 1027.91 1002.62 2860.16
26000 849.485 1044.98 1030.55 2925.02
26500 867.909 1067.58 1050.63 2986.12
27000 886.781 1089.77 1067.02 3043.57
27500 901.886 1109.55 1087.59 3099.02
28000 918.506 1129.86 1111.33 3159.7
28500 936.789 1151.63 1134.4 3222.82
29000 954.155 1167.81 1154.53 3276.5
29500 967.506 1185.16 1176.84 3329.51
30000 985.068 1205.16 1196.58 3386.81
