# step  MSD_x(Ang2)  MSD_y  MSD_z  MSD_total
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
0 0 0 0 0
500 5.29529 4.99343 5.00931 15.298
1000 14.7875 13.8439 14.5561 43.1875
1500 27.7937 26.1744 26.5429 80.511
2000 41.8936 39.5512 38.8081 120.253
2500 56.5227 53.6418 51.4084 161.573
3000 70.8797 68.0647 65.3711 204.316
3500 85.1526 83.4359 80.012 248.6
4000 98.1438 98.9875 95.1157 292.247
4500 111.806 114.245 110.041 336.092
5000 125.598 128.398 123.824 377.82
5500 140.526 144.028 138.408 422.962
6000 155.876 159.72 152.631 468.227
6500 171.394 174.739 165.924 512.057
7000 185.25 188.963 179.534 553.747
7500 200.063 203.438 192.181 595.683
8000 216.645 218.922 206.392 641.959
8500 227.661 232.584 221.788 682.033
9000 238.334 246.043 236.573 720.95
9500 251.376 261.513 252.63 765.52
10000 263.18 276.581 266.521 806.282
10500 276.671 292.332 283.211 852.215
11000 290.076 304.865 298.55 893.49
11500 300.595 316.396 312.519 929.51
12000 310.564 328.882 324.584 964.03
12500 323.677 342.141 337.705 1003.52
13000 338.469 355.817 352.377 1046.66
13500 351.484 369.31 365.26 1086.05
14000 362.92 385.724 379.632 1128.28
14500 374.948 399.532 392.957 1167.44
15000 387.697 413.675 406.664 1208.04
15500 400.826 427.741 419.67 1248.24
16000 412.585 441.336 431.906 1285.83
16500 426.229 453.452 445.305 1324.99
17000 440.173 467.209 458.355 1365.74
17500 453.439 484.846 469.912 1408.2
18000 468.685 499.983 484.106 1452.77
18500 479.687 514.008 500.962 1494.66
19000 490.697 527.573 513.321 1531.59
19500 506.057 544.334 526.399 1576.79
20000 521.397 560.701 538.218 1620.32
20500 536.811 577.169 548.705 1662.69
21000 553.17 590.874 559.723 1703.77
21500 566.585 603.848 571.954 1742.39
22000 582.81 616.019 585.952 1784.78
22500 595.431 627.766 599.108 1822.31
23000 604.939 640.324 606.93 1852.19
23500 613.21 656.662 615.503 1885.37
24000 624.729 673.248 624.691 1922.67
24500 637.272 692.348 637.714 1967.33
25000 646.52 712.369 650.356 2009.24
25500 656.18 730.638 662.52 2049.34
26000 668.957 746.563 677.381 2092.9
26500 682.114 764.358 694.482 2140.95
27000 695.258 778.252 708.425 2181.94
27500 706.468 790.579 724.154 2221.2
28000 718.349 806.49 739.322 2264.16
28500 726.586 824.271 758.443 2309.3
29000 738.673 843.473 780.686 2362.83
29500 755.029 857.855 798.613 2411.5
30000 768.575 874.671 816.799 2460.05
30500 779.134 892.304 831.411 2502.85
31000 789.462 911.514 848.508 2549.48
31500 801.039 927.109 865.864 2594.01
32000 813.049 938.01 885.268 2636.33
32500 824.413 949.901 904.335 2678.65
33000 836.92 962.631 923.39 2722.94
33500 852.713 981.665 942.39 2776.77
34000 865.023 1001.68 959.44 2826.14
34500 877.994 1017.58 974.409 2869.98
35000 892.993 1035.02 990.575 2918.59
35500 908.116 1054.01 1004.7 2966.83
36000 920.044 1072.35 1017.77 3010.16
36500 932.414 1089.41 1028.39 3050.22
37000 946.346 1104.58 1039.36 3090.29
37500 961.196 1117.23 1051.8 3130.23
38000 974.622 1133.66 1071.77 3180.05
38500 986.625 1150.25 1099.05 3235.93
39000 999.399 1167.59 1127.88 3294.87
39500 1012.92 1185.03 1158.19 3356.14
40000 1029.72 1202.19 1180.92 3412.82
40500 1044.31 1215.77 1202.77 3462.85
41000 1057.45 1228.54 1222.07 3508.05
41500 1071.41 1240.39 1237.34 3549.15
42000 1076.53 1251.56 1251.66 3579.76
42500 1080.21 1262.35 1263.71 3606.27
43000 1084.91 1282.1 1280.22 3647.23
43500 1096.34 1306.46 1294.53 3697.33
44000 1108.79 1329.59 1305.34 3743.71
44500 1124.18 1351.12 1317.86 3793.15
45000 1136.16 1368.35 1329.7 3834.21
45500 1152.61 1385.03 1343.3 3880.95
46000 1167.61 1404.9 1360.81 3933.32
46500 1177.93 1425.08 1376.25 3979.25
47000 1189.83 1447.85 1389.21 4026.9
47500 1198.87 1467.81 1401.71 4068.38
48000 1212.95 1487 1414.13 4114.09
48500 1226.98 1509.65 1427.68 4164.31
49000 1236.85 1535.78 1447.36 4219.99
49500 1244.93 1559.76 1467.95 4272.65
50000 1252.09 1581.63 1489.12 4322.83
50500 1259.12 1599.92 1505.7 4364.75
51000 1266.16 1621.32 1519.5 4406.99
51500 1274.15 1640.16 1538.45 4452.77
52000 1281.36 1659.79 1556.36 4497.51
52500 1293.94 1674.1 1573.74 4541.78
53000 1306 1687.65 1590.09 4583.75
53500 1315.68 1701.15 1606.91 4623.73
54000 1324.87 1717.15 1617.87 4659.89
54500 1339.66 1731.11 1624.18 4694.96
55000 1352.23 1746.37 1637.45 4736.05
55500 1356.36 1764.54 1651.04 4771.94
56000 1365.67 1781.65 1669.42 4816.74
56500 1376.44 1801.11 1685.32 4862.87
57000 1388.44 1819.87 1703.37 4911.68
57500 1396.08 1830.19 1717.02 4943.29
58000 1401.37 1842.45 1737.5 4981.31
58500 1412.02 1851.31 1757.29 5020.62
59000 1419.37 1864.45 1771.92 5055.73
59500 1427.76 1877.9 1787.91 5093.57
60000 1438.81 1894.09 1801.43 5134.33
60500 1449.01 1908.98 1819.98 5177.97
61000 1463.74 1925 1841.6 5230.35
61500 1482.75 1943.77 1864.04 5290.57
62000 1494.34 1963.07 1881.54 5338.95
62500 1501.96 1976.44 1901.72 5380.12
63000 1513.31 1991.55 1915.97 5420.83
63500 1530.64 2011.89 1929.17 5471.7
64000 1542.18 2030.12 1946 5518.29
64500 1552.92 2034.16 1961.77 5548.85
65000 1556.19 2038.89 1974.2 5569.28
65500 1567.34 2045.93 1989.58 5602.85
66000 1581.08 2057.75 2007.14 5645.97
66500 1593.95 2074.45 2019.35 5687.75
67000 1607.2 2091.69 2036.82 5735.71
67500 1618.34 2103.04 2050.51 5771.88
68000 1630.85 2113.83 2066.99 5811.66
68500 1644.13 2123.24 2080.2 5847.58
69000 1658.39 2134.29 2092.37 5885.05
69500 1670.47 2145.31 2109.18 5924.95
70000 1682.41 2159.8 2129.72 5971.93
70500 1693.11 2176.71 2147.17 6016.99
71000 1705.13 2193.94 2170.59 6069.66
71500 1719.35 2213.18 2191.53 6124.06
72000 1733.02 2232.41 2205.96 6171.4
72500 1743.67 2244.79 2222.97 6211.43
73000 1752.64 2252.18 2234.96 6239.78
73500 1765.98 2261.32 2247.27 6274.57
74000 1775.63 2268.95 2260.8 6305.38
74500 1787.59 2280.69 2267.1 6335.38
75000 1803.84 2289.13 2274.35 6367.32
75500 1818.66 2306.05 2275.22 6399.92
76000 1826.76 2319.17 2281.7 6427.63
76500 1839.23 2333.76 2292.67 6465.66
77000 1852.61 2357.35 2312.09 6522.05
77500 1865.5 2377.6 2336.73 6579.82
78000 1876.25 2397.64 2351.46 6625.35
78500 1886.34 2409.88 2366.28 6662.51
79000 1892.74 2421.35 2388.57 6702.66
79500 1896.68 2435.25 2407.05 6738.98
80000 1903.38 2445.29 2424.26 6772.93
80500 1904.48 2457.83 2438.79 6801.1
81000 1906.33 2473.98 2449.95 6830.26
81500 1906.19 2488.69 2459.86 6854.74
82000 1918.68 2507.55 2465.79 6892.02
82500 1929.97 2531.07 2474.64 6935.69
83000 1945.23 2545.63 2490.68 6981.54
83500 1954.81 2564.36 2510.11 7029.28
84000 1966.79 2582.14 2526.74 7075.67
84500 1981.98 2608.51 2542.5 7132.99
85000 1990.39 2633.99 2558.33 7182.71
85500 1995 2652.71 2578.5 7226.21
86000 2006.83 2670.4 2603.23 7280.47
86500 2017.83 2687.52 2627.37 7332.72
87000 2028.36 2706.64 2653.52 7388.52
87500 2037.6 2722.58 2671.35 7431.54
88000 2049.08 2736.4 2692.01 7477.48
88500 2063.18 2753.58 2716.41 7533.18
89000 2077.86 2774.88 2738.75 7591.49
89500 2095.21 2791.81 2769.35 7656.36
90000 2113.71 2814.83 2789.91 7718.45
90500 2124.88 2839.08 2807.54 7771.5
91000 2137.87 2856.29 2836.79 7830.95
91500 2151.77 2868.36 2864.23 7884.35
92000 2168.08 2879.22 2889.26 7936.56
92500 2184.26 2885.53 2915.66 7985.46
93000 2189.67 2900.11 2933.72 8023.51
93500 2196.86 2910.19 2956.99 8064.04
94000 2208.39 2935.03 2975.15 8118.58
94500 2225.17 2955.26 2993.99 8174.42
95000 2242.1 2982.15 3016.73 8240.98
95500 2261.79 3007.53 3038.77 8308.09
96000 2278.75 3037.67 3053.49 8369.91
96500 2291.79 3069.46 3067.5 8428.75
97000 2297.17 3097.64 3075.49 8470.3
97500 2305.17 3125.29 3082.97 8513.42
98000 2313.93 3150.49 3088.04 8552.46
98500 2328.61 3173.09 3091.99 8593.69
99000 2339.35 3190.49 3105.88 8635.72
99500 2353.88 3204.09 3115.94 8673.9
100000 2360.95 3214.33 3130.4 8705.68
100500 2370.04 3222.39 3140.6 8733.02
101000 2377.84 3230.22 3148.41 8756.48
101500 2384.83 3243.8 3159.35 8787.99
102000 2396.16 3268.93 3170.41 8835.51
102500 2399.53 3291.62 3180.15 8871.3
103000 2405.34 3305.51 3190.91 8901.76
103500 2413.95 3314.79 3210.91 8939.66
104000 2424.68 3321.13 3231.49 8977.3
104500 2431.57 3334.38 3246.3 9012.25
105000 2440.24 3345.24 3261.22 9046.7
105500 2450.71 3357.84 3276.1 9084.65
106000 2462.04 3376.39 3282.82 9121.25
106500 2481.03 3395.37 3298.9 9175.29
107000 2496.12 3411.72 3315.29 9223.14
107500 2506.54 3425.99 3336.64 9269.17
108000 2521.65 3445.89 3361.49 9329.03
108500 2528.07 3468.62 3384.95 9381.64
109000 2531.28 3492.28 3404.28 9427.85
109500 2537 3509.04 3431.71 9477.74
110000 2545.5 3523.76 3443.24 9512.5
110500 2553.35 3541.82 3458.33 9553.5
111000 2566.12 3550.95 3474.11 9591.17
111500 2579.77 3561.03 3488.83 9629.63
112000 2592.18 3573.76 3498.05 9663.99
112500 2607.66 3586.83 3503.61 9698.1
113000 2619.96 3601.53 3519.19 9740.68
113500 2632.83 3617.06 3535.11 9785
114000 2644.18 3633.35 3555.54 9833.07
114500 2664.94 3652.8 3579.29 9897.03
115000 2676.58 3668.11 3599.2 9943.89
115500 2688.83 3683.22 3611.61 9983.67
116000 2701.89 3703.67 3624.73 10030.3
116500 2713.95 3724.72 3648.81 10087.5
117000 2725.53 3744.64 3678.56 10148.7
117500 2733.17 3764.94 3701.79 10199.9
118000 2746.38 3782.76 3715.59 10244.7
118500 2759.73 3804.37 3730.09 10294.2
119000 2766.52 3815.48 3744.62 10326.6
119500 2770.68 3828.92 3764.29 10363.9
120000 2777.27 3832.46 3781.78 10391.5
120500 2785.19 3846.56 3801.16 10432.9
121000 2798.09 3866.58 3823.98 10488.6
121500 2815.99 3883.46 3837.02 10536.5
122000 2825.94 3899.87 3847.35 10573.2
122500 2831.04 3921.19 3849.62 10601.8
123000 2834.87 3951.83 3863.16 10649.9
123500 2839.31 3981.41 3869.02 10689.7
124000 2844.83 4004.2 3878.88 10727.9
124500 2849.45 4026.21 3892.9 10768.6
125000 2864.68 4049.36 3900.17 10814.2
125500 2877.53 4067.99 3910.44 10856
126000 2887.02 4089.56 3929.75 10906.3
126500 2897.62 4117.15 3935.16 10949.9
127000 2904.66 4136.3 3946.21 10987.2
127500 2913.94 4151.33 3957.58 11022.9
128000 2921.49 4178.91 3974.66 11075.1
128500 2929.84 4198.26 3989.86 11118
129000 2937.06 4208.68 4005.77 11151.5
129500 2945.75 4226.71 4022.05 11194.5
130000 2957.94 4250.93 4041.47 11250.3
130500 2975.45 4272.94 4053.86 11302.2
131000 2986.96 4293.04 4072.63 11352.6
131500 2998.69 4311.85 4094.09 11404.6
132000 3012.65 4328.65 4117.57 11458.9
132500 3021.43 4345.89 4134.33 11501.7
133000 3023.02 4363.72 4151.24 11538
133500 3040.39 4378.49 4167 11585.9
134000 3049.71 4391.25 4176.14 11617.1
134500 3048.57 4405.72 4193.1 11647.4
135000 3045.1 4417.84 4208.83 11671.8
135500 3038.09 4434.17 4217.36 11689.6
136000 3038.16 4454.44 4231.36 11724
136500 3038.93 4470.71 4239.94 11749.6
137000 3049.59 4485.55 4255.54 11790.7
137500 3051.7 4500.95 4280.75 11833.4
138000 3058.45 4507.46 4310.36 11876.3
138500 3076.09 4522.26 4327.13 11925.5
139000 3084.15 4541.91 4343.62 11969.7
139500 3093.57 4561.56 4358.78 12013.9
140000 3097.85 4574.39 4364.76 12037
140500 3104.62 4589.94 4373.74 12068.3
141000 3115 4600.31 4384.52 12099.8
141500 3129.7 4610.03 4393.07 12132.8
142000 3144.45 4622.56 4414.39 12181.4
142500 3159.74 4635.35 4427.73 12222.8
143000 3170.2 4653.18 4450.24 12273.6
143500 3179.78 4670.19 4460 12310
144000 3192.35 4686.19 4472.49 12351
144500 3205.52 4705.8 4490.62 12401.9
145000 3218.88 4718.68 4504.44 12442
145500 3228.5 4752.22 4521.51 12502.2
146000 3241.3 4772.3 4537.65 12551.3
146500 3249.56 4783.57 4550.05 12583.2
147000 3251.52 4809.6 4553 12614.1
147500 3261.85 4833.4 4565.67 12660.9
148000 3278.19 4845 4577.19 12700.4
148500 3290.19 4850.99 4585.65 12726.8
149000 3296.6 4862.06 4600.25 12758.9
149500 3306.6 4865.4 4620.63 12792.6
150000 3318.25 4873.65 4634.45 12826.3
150500 3326.1 4880.28 4650.7 12857.1
151000 3334.93 4892.01 4666.05 12893
151500 3346.18 4902.88 4679.89 12928.9
152000 3359.53 4911.92 4681.1 12952.5
152500 3369.14 4921.15 4688.39 12978.7
153000 3379.25 4941.82 4702.73 13023.8
153500 3390.01 4963.02 4707.98 13061
154000 3392 4978.95 4721.54 13092.5
154500 3391.33 4994.47 4736.53 13122.3
155000 3403.01 5005.26 4756.47 13164.7
155500 3414.4 5018 4777.05 13209.4
156000 3425.26 5027.76 4792.73 13245.8
156500 3433.3 5028.78 4804.59 13266.7
157000 3445.72 5040.59 4821.84 13308.1
157500 3454.18 5052.01 4828.58 13334.8
158000 3459.58 5069.01 4844.03 13372.6
158500 3471.42 5078.38 4863.81 13413.6
159000 3479.8 5089.37 4872.08 13441.3
159500 3493.64 5116.43 4887.49 13497.6
160000 3510.8 5133.81 4900.48 13545.1
160500 3522.31 5144.44 4906.17 13572.9
161000 3534.21 5155.57 4922.11 13611.9
161500 3549.18 5173.72 4936.93 13659.8
162000 3559.01 5184.57 4955.17 13698.8
162500 3563 5187.74 4974.28 13725
163000 3567.37 5203.56 4989.47 13760.4
163500 3574.23 5219 4998 13791.2
164000 3584.47 5235.13 5015.5 13835.1
164500 3592.66 5251.62 5029.24 13873.5
165000 3600.83 5266.88 5050.1 13917.8
165500 3607.73 5282.35 5060.6 13950.7
166000 3607.89 5302.33 5077.61 13987.8
166500 3610.48 5324.43 5103.71 14038.6
167000 3623.8 5350.63 5124.11 14098.5
167500 3632.71 5364.29 5148.51 14145.5
168000 3641.98 5380.84 5179.08 14201.9
168500 3660.25 5395.98 5209.02 14265.3
169000 3674.65 5417.98 5244.4 14337
169500 3687 5434.16 5266.53 14387.7
170000 3694.48 5444.6 5283.29 14422.4
170500 3706.78 5470.23 5305.31 14482.3
171000 3722.4 5478.99 5315.02 14516.4
171500 3724.78 5495.57 5330.82 14551.2
172000 3727.28 5515.9 5354.95 14598.1
172500 3729.64 5529.13 5367.07 14625.9
173000 3743.03 5536.08 5398.22 14677.3
173500 3758.77 5546.41 5425.55 14730.7
174000 3765.58 5551.05 5436.24 14752.9
